Wavenumber,Intensity
3968,57.949234
3967.875,57.9606
3967.75,57.979127
3967.625,57.999088
3967.5,58.01489
3967.375,58.025556
3967.25,58.034723
3967.125,58.044377
3967,58.051937
3966.875,58.055866
3966.75,58.059254
3966.625,58.064359
3966.5,58.068365
3966.375,58.068538
3966.25,58.067039
3966.125,58.066792
3966,58.065886
3965.875,58.057481
3965.75,58.030913
3965.625,57.975527
3965.5,57.895023
3965.375,57.819901
3965.25,57.791574
3965.125,57.825004
3965,57.89414
3964.875,57.956947
3964.75,57.986351
3964.625,57.976916
3964.5,57.940897
3964.375,57.907638
3964.25,57.909645
3964.125,57.954085
3964,58.015679
3963.875,58.066194
3963.75,58.099163
3963.625,58.11949
3963.5,58.128037
3963.375,58.126484
3963.25,58.109493
3963.125,58.025688
3963,57.77051
3962.875,57.266455
3962.75,56.561807
3962.625,55.833207
3962.5,55.284175
3962.375,55.050029
3962.25,55.172414
3962.125,55.607231
3962,56.233566
3961.875,56.88539
3961.75,57.422157
3961.625,57.78594
3961.5,57.995172
3961.375,58.098142
3961.25,58.13888
3961.125,58.151261
3961,58.158878
3960.875,58.166605
3960.75,58.154776
3960.625,58.091413
3960.5,57.962543
3960.375,57.799393
3960.25,57.670359
3960.125,57.635441
3960,57.701877
3959.875,57.825936
3959.75,57.95379
3959.625,58.055644
3959.5,58.126241
3959.375,58.163712
3959.25,58.153131
3959.125,58.070508
3959,57.910288
3958.875,57.715326
3958.75,57.570954
3958.625,57.548996
3958.5,57.651429
3958.375,57.814558
3958.25,57.966654
3958.125,58.069204
3958,58.099828
3957.875,58.019697
3957.75,57.790161
3957.625,57.435964
3957.5,57.079724
3957.375,56.885522
3957.25,56.944575
3957.125,57.211303
3957,57.550895
3956.875,57.846422
3956.75,58.055935
3956.625,58.187901
3956.5,58.257288
3956.375,58.274071
3956.25,58.248386
3956.125,58.186432
3956,58.093532
3955.875,57.994557
3955.75,57.936463
3955.625,57.951525
3955.5,58.02629
3955.375,58.120444
3955.25,58.205912
3955.125,58.273516
3955,58.31601
3954.875,58.328749
3954.75,58.321857
3954.625,58.311248
3954.5,58.299494
3954.375,58.275565
3954.25,58.218069
3954.125,58.079862
3954,57.796099
3953.875,57.359714
3953.75,56.893077
3953.625,56.599595
3953.5,56.608386
3953.375,56.875534
3953.25,57.241473
3953.125,57.563279
3953,57.787746
3952.875,57.933166
3952.75,58.040559
3952.625,58.137926
3952.5,58.22713
3952.375,58.29511
3952.25,58.336566
3952.125,58.359318
3952,58.368662
3951.875,58.360405
3951.75,58.329158
3951.625,58.265375
3951.5,58.14629
3951.375,57.956411
3951.25,57.709779
3951.125,57.393237
3951,56.86621
3950.875,55.90667
3950.75,54.476038
3950.625,52.950299
3950.5,51.981313
3950.375,52.029778
3950.25,53.02343
3950.125,54.463874
3950,55.834589
3949.875,56.877745
3949.75,57.571106
3949.625,57.980074
3949.5,58.182826
3949.375,58.249396
3949.25,58.178127
3949.125,57.853962
3949,57.166049
3948.875,56.230466
3948.75,55.435492
3948.625,55.149558
3948.5,55.337286
3948.375,55.524521
3948.25,55.234646
3948.125,54.46663
3948,53.718926
3947.875,53.533555
3947.75,54.062568
3947.625,55.046624
3947.5,56.115263
3947.375,57.029594
3947.25,57.702409
3947.125,58.128428
3947,58.353947
3946.875,58.461083
3946.75,58.518263
3946.625,58.547003
3946.5,58.549328
3946.375,58.542605
3946.25,58.546273
3946.125,58.556468
3946,58.558333
3945.875,58.551253
3945.75,58.542679
3945.625,58.52697
3945.5,58.478746
3945.375,58.351382
3945.25,58.084791
3945.125,57.663077
3945,57.193915
3944.875,56.885252
3944.75,56.887972
3944.625,57.16189
3944.5,57.529996
3944.375,57.838871
3944.25,58.033887
3944.125,58.102903
3944,57.996471
3943.875,57.576842
3943.75,56.596162
3943.625,54.798764
3943.5,52.218859
3943.375,49.454679
3943.25,47.508289
3943.125,47.184641
3943,48.540097
3942.875,50.907902
3942.75,53.410513
3942.625,55.451598
3942.5,56.850675
3942.375,57.693727
3942.25,58.152166
3942.125,58.380816
3942,58.486762
3941.875,58.534374
3941.75,58.557993
3941.625,58.567302
3941.5,58.554936
3941.375,58.517657
3941.25,58.471845
3941.125,58.442031
3941,58.441002
3940.875,58.46815
3940.75,58.516925
3940.625,58.573534
3940.5,58.618938
3940.375,58.64363
3940.25,58.649753
3940.125,58.630086
3940,58.562456
3939.875,58.442904
3939.75,58.312971
3939.625,58.233242
3939.5,58.229738
3939.375,58.270527
3939.25,58.284903
3939.125,58.207131
3939,58.028546
3938.875,57.826499
3938.75,57.719954
3938.625,57.774564
3938.5,57.955622
3938.375,58.179664
3938.25,58.387358
3938.125,58.554309
3938,58.667636
3937.875,58.727537
3937.75,58.756376
3937.625,58.776023
3937.5,58.785781
3937.375,58.781726
3937.25,58.778759
3937.125,58.789474
3937,58.800898
3936.875,58.797534
3936.75,58.788452
3936.625,58.78595
3936.5,58.779753
3936.375,58.759238
3936.25,58.735858
3936.125,58.713212
3936,58.664025
3935.875,58.575194
3935.75,58.487526
3935.625,58.449877
3935.5,58.45907
3935.375,58.480623
3935.25,58.481491
3935.125,58.38607
3935,58.060565
3934.875,57.453248
3934.75,56.751471
3934.625,56.295877
3934.5,56.307273
3934.375,56.729496
3934.25,57.329435
3934.125,57.876728
3934,58.246881
3933.875,58.435132
3933.75,58.458155
3933.625,58.154009
3933.5,57.131519
3933.375,55.11368
3933.25,52.389961
3933.125,49.767122
3933,47.961503
3932.875,47.164141
3932.75,47.247806
3932.625,48.178633
3932.5,49.968766
3932.375,52.321341
3932.25,54.624037
3932.125,56.374889
3932,57.483121
3931.875,58.116836
3931.75,58.407913
3931.625,58.370085
3931.5,57.982459
3931.375,57.274479
3931.25,56.405693
3931.125,55.701795
3931,55.500061
3930.875,55.8766
3930.75,56.571682
3930.625,57.2292
3930.5,57.621173
3930.375,57.617947
3930.25,57.109341
3930.125,56.138272
3930,55.067745
3929.875,54.427385
3929.75,54.524605
3929.625,55.248578
3929.5,56.240601
3929.375,57.17657
3929.25,57.884439
3929.125,58.318166
3929,58.510772
3928.875,58.540654
3928.75,58.493412
3928.625,58.440649
3928.5,58.440287
3928.375,58.519875
3928.25,58.651792
3928.125,58.775824
3928,58.859086
3927.875,58.914206
3927.75,58.958566
3927.625,58.989101
3927.5,59.004046
3927.375,59.014571
3927.25,59.019876
3927.125,59.000428
3927,58.952521
3926.875,58.899553
3926.75,58.851634
3926.625,58.786608
3926.5,58.684125
3926.375,58.506981
3926.25,58.071924
3926.125,56.997505
3926,54.976579
3925.875,52.248429
3925.75,49.741495
3925.625,48.55531
3925.5,49.129869
3925.375,50.912822
3925.25,52.845628
3925.125,54.187274
3925,54.88334
3924.875,55.283544
3924.75,55.660417
3924.625,56.015794
3924.5,56.206404
3924.375,56.137627
3924.25,55.86475
3924.125,55.591331
3924,55.569079
3923.875,55.931431
3923.75,56.59575
3923.625,57.33834
3923.5,57.96938
3923.375,58.423092
3923.25,58.717542
3923.125,58.888121
3923,58.972351
3922.875,59.01297
3922.75,59.041462
3922.625,59.067546
3922.5,59.092227
3922.375,59.115392
3922.25,59.125718
3922.125,59.104894
3922,59.054026
3921.875,58.997438
3921.75,58.946934
3921.625,58.881567
3921.5,58.779909
3921.375,58.627091
3921.25,58.300723
3921.125,57.434424
3921,55.540265
3920.875,52.508408
3920.75,49.074368
3920.625,46.630291
3920.5,46.308925
3920.375,48.126204
3920.25,51.057108
3920.125,53.90917
3920,56.07083
3919.875,57.508059
3919.75,58.371229
3919.625,58.80082
3919.5,58.966982
3919.375,59.037342
3919.25,59.068685
3919.125,59.043699
3919,58.99232
3918.875,58.968511
3918.75,58.947143
3918.625,58.855184
3918.5,58.606851
3918.375,57.898373
3918.25,56.064083
3918.125,52.580154
3918,47.964361
